"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q4,Q3,Q2";"SOT-23";3;"AO3400A";;;
2;"U1";"WEMOS_D1_mini_light";1;"WeMos_D1_mini";;;
3;"D3,D2,D1";"D_SOD-323_HandSoldering";3;"1N4148WS";;;
4;"R5,R4,R3,R2,R1";"R_0805_2012Metric";5;"10k";;;
5;"J2";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10";;;
6;"Q1";"SOT-23";1;"2N7002";;;
7;"J1";"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal";1;"Screw_Terminal_01x03";;;
